From;To;Resources;Network_type;tc_min;tc_max
SIN;SA-TJ;LPG;LPG_PIPELINE;0;0
SA-TJ;SIN;LPG;LPG_PIPELINE;0;0
SIN;SA-SC;LPG;LPG_PIPELINE;0;0
SA-SC;SIN;LPG;LPG_PIPELINE;0;0
SIN;SA-BN;LFO;LFO_PIPELINE;0;0
SA-BN;SIN;LFO;LFO_PIPELINE;0;0
SIN;SA-PA;LFO;LFO_PIPELINE;0;0
SA-PA;SIN;LFO;LFO_PIPELINE;0;0
SIN;SA-TJ;LFO;LFO_PIPELINE;0;0
SA-TJ;SIN;LFO;LFO_PIPELINE;0;0
SIN;SA-SC;LFO;LFO_PIPELINE;0;0
SA-SC;SIN;LFO;LFO_PIPELINE;0;0
SIN;HL;LPG;LPG_PIPELINE;0;0
HL;SIN;LPG;LPG_PIPELINE;0;0
SIN;LL;LPG;LPG_PIPELINE;0;0
LL;SIN;LPG;LPG_PIPELINE;0;0
SIN;VL;LPG;LPG_PIPELINE;0;0
VL;SIN;LPG;LPG_PIPELINE;0;0
SIN;SA-BN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SA-BN;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;SA-PA;JET_FUEL;JET_FUEL_PIPELINE;0;0
SA-PA;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;SA-TJ;JET_FUEL;JET_FUEL_PIPELINE;0;0
SA-TJ;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;SA-SC;JET_FUEL;JET_FUEL_PIPELINE;0;0
SA-SC;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;HL;JET_FUEL;JET_FUEL_PIPELINE;0;0
HL;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;LL;JET_FUEL;JET_FUEL_PIPELINE;0;0
LL;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;VL;JET_FUEL;JET_FUEL_PIPELINE;0;0
VL;SIN;JET_FUEL;JET_FUEL_PIPELINE;0;0
SIN;SA-BN;H2;H2_RETROFITTED;0;0
SA-BN;SIN;H2;H2_RETROFITTED;0;0
SIN;SA-PA;H2;H2_RETROFITTED;0;0
SA-PA;SIN;H2;H2_RETROFITTED;0;0
SIN;SA-TJ;H2;H2_RETROFITTED;0;0
SA-TJ;SIN;H2;H2_RETROFITTED;0;0
SIN;SA-SC;H2;H2_RETROFITTED;0;0
SA-SC;SIN;H2;H2_RETROFITTED;0;0
SIN;HL;H2;H2_RETROFITTED;0;0
HL;SIN;H2;H2_RETROFITTED;0;0
SIN;LL;H2;H2_RETROFITTED;0;0
LL;SIN;H2;H2_RETROFITTED;0;0
SIN;VL;H2;H2_RETROFITTED;0;0
VL;SIN;H2;H2_RETROFITTED;0;0
SIN;SA-BN;H2;H2_NEW;0;0
SA-BN;SIN;H2;H2_NEW;0;0
SIN;SA-PA;H2;H2_NEW;0;0
SA-PA;SIN;H2;H2_NEW;0;0
SIN;SA-TJ;H2;H2_NEW;0;0
SA-TJ;SIN;H2;H2_NEW;0;0
SIN;SA-SC;H2;H2_NEW;0;0
SA-SC;SIN;H2;H2_NEW;0;0
SIN;HL;H2;H2_NEW;0;0
HL;SIN;H2;H2_NEW;0;0
SIN;LL;H2;H2_NEW;0;0
LL;SIN;H2;H2_NEW;0;0
SIN;VL;H2;H2_NEW;0;0
VL;SIN;H2;H2_NEW;0;0
SIN;SA-BN;H2;H2_SUBSEA_RETRO;0;0
SA-BN;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;SA-PA;H2;H2_SUBSEA_RETRO;0;0
SA-PA;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;SA-TJ;H2;H2_SUBSEA_RETRO;0;0
SA-TJ;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;SA-SC;H2;H2_SUBSEA_RETRO;0;0
SA-SC;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;HL;H2;H2_SUBSEA_RETRO;0;0
HL;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;LL;H2;H2_SUBSEA_RETRO;0;0
LL;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;VL;H2;H2_SUBSEA_RETRO;0;0
VL;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;SA-BN;H2;H2_SUBSEA_NEW;0;0
SA-BN;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;SA-PA;H2;H2_SUBSEA_NEW;0;0
SA-PA;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;SA-TJ;H2;H2_SUBSEA_NEW;0;0
SA-TJ;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;SA-SC;H2;H2_SUBSEA_NEW;0;0
SA-SC;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;HL;H2;H2_SUBSEA_NEW;0;0
HL;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;LL;H2;H2_SUBSEA_NEW;0;0
LL;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;VL;H2;H2_SUBSEA_NEW;0;0
VL;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;SA-BN;ELECTRICITY;HVDC_SUBSEA;0;0
SA-BN;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;SA-PA;ELECTRICITY;HVDC_SUBSEA;0;0
SA-PA;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;SA-TJ;ELECTRICITY;HVDC_SUBSEA;0;0
SA-TJ;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;SA-SC;ELECTRICITY;HVDC_SUBSEA;0;0
SA-SC;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;HL;ELECTRICITY;HVDC_SUBSEA;0;0
HL;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;LL;ELECTRICITY;HVDC_SUBSEA;0;0
LL;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;VL;ELECTRICITY;HVDC_SUBSEA;0;0
VL;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;SA-BN;GAS;GAS_SUBSEA;0;0
SA-BN;SIN;GAS;GAS_SUBSEA;0;0
SIN;SA-PA;GAS;GAS_SUBSEA;0;0
SA-PA;SIN;GAS;GAS_SUBSEA;0;0
SIN;SA-TJ;GAS;GAS_SUBSEA;0;0
SA-TJ;SIN;GAS;GAS_SUBSEA;0;0
SIN;SA-SC;GAS;GAS_SUBSEA;0;0
SA-SC;SIN;GAS;GAS_SUBSEA;0;0
SIN;HL;GAS;GAS_SUBSEA;0;0
HL;SIN;GAS;GAS_SUBSEA;0;0
SIN;LL;GAS;GAS_SUBSEA;0;0
LL;SIN;GAS;GAS_SUBSEA;0;0
SIN;VL;GAS;GAS_SUBSEA;0;0
VL;SIN;GAS;GAS_SUBSEA;0;0
