From;To;Resources;Network_type;tc_min;tc_max
SIN;SA-PA;H2;H2_RETROFITTED;0;0
SA-PA;SIN;H2;H2_RETROFITTED;0;0
SIN;SA-TJ;H2;H2_RETROFITTED;0;0
SA-TJ;SIN;H2;H2_RETROFITTED;0;0
SIN;SA-SC;H2;H2_RETROFITTED;0;0
SA-SC;SIN;H2;H2_RETROFITTED;0;0
SIN;SA-BN;H2;H2_NEW;0;0
SA-BN;SIN;H2;H2_NEW;0;0
SIN;SA-PA;H2;H2_NEW;0;0
SA-PA;SIN;H2;H2_NEW;0;0
SIN;SA-TJ;H2;H2_NEW;0;0
SA-TJ;SIN;H2;H2_NEW;0;0
SIN;SA-SC;H2;H2_NEW;0;0
SA-SC;SIN;H2;H2_NEW;0;0
SIN;SA-BN;H2;H2_SUBSEA_RETRO;0;0
SA-BN;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;SA-PA;H2;H2_SUBSEA_RETRO;0;0
SA-PA;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;SA-TJ;H2;H2_SUBSEA_RETRO;0;0
SA-TJ;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;SA-SC;H2;H2_SUBSEA_RETRO;0;0
SA-SC;SIN;H2;H2_SUBSEA_RETRO;0;0
SIN;SA-BN;H2;H2_SUBSEA_NEW;0;0
SA-BN;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;SA-PA;H2;H2_SUBSEA_NEW;0;0
SA-PA;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;SA-TJ;H2;H2_SUBSEA_NEW;0;0
SA-TJ;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;SA-SC;H2;H2_SUBSEA_NEW;0;0
SA-SC;SIN;H2;H2_SUBSEA_NEW;0;0
SIN;SA-BN;ELECTRICITY;HVDC_SUBSEA;0;0
SA-BN;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;SA-PA;ELECTRICITY;HVDC_SUBSEA;0;0
SA-PA;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;SA-TJ;ELECTRICITY;HVDC_SUBSEA;0;0
SA-TJ;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;SA-SC;ELECTRICITY;HVDC_SUBSEA;0;0
SA-SC;SIN;ELECTRICITY;HVDC_SUBSEA;0;0
SIN;SA-BN;GAS;GAS_SUBSEA;0;0
SA-BN;SIN;GAS;GAS_SUBSEA;0;0
SIN;SA-PA;GAS;GAS_SUBSEA;0;0
SA-PA;SIN;GAS;GAS_SUBSEA;0;0
SIN;SA-TJ;GAS;GAS_SUBSEA;0;0
SA-TJ;SIN;GAS;GAS_SUBSEA;0;0
SIN;SA-SC;GAS;GAS_SUBSEA;0;0
SA-SC;SIN;GAS;GAS_SUBSEA;0;0
