Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
Heat;Heat high temperature;Boiler wood (industry);IND_BOILER_WOOD;115.18;2.303586478;28.87;17;0.8946;0;1;0;0;
Heat;Heat high temperature;Boiler biowaste (industry);IND_BOILER_BIOWASTE;138.22;2.764303774;28.87;17;0.8946;0;1;0;0;
Heat;Heat high temperature;Boiler oil (industry);IND_BOILER_OIL;54.86;1.179885757;12.32;17;0.9443;0;1;0;0;
Heat;Heat high temperature;Boiler coal (industry);IND_BOILER_COAL;115.18;2.303586478;48.18;17;0.8946;0;1;0;0;
Heat;Heat high temperature;Boiler waste (industry);IND_BOILER_WASTE;115.18;2.303586478;28.87;17;0.8946;0;1;0;0;
Heat;Heat high temperature;Electrical resistors (industry);IND_DIRECT_ELEC;332.34;1.507631801;1.47;15;0.9443;0;1;0;0;
Heat;Heat low temperature centralised;Heat pump (DHN);DHN_HP_ELEC;395.73;13.41870073;174.79;25;0.9443;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration gas (DHN);DHN_COGEN_GAS;1361.46;39.80624675;490.88;25;0.8449;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration wood (DHN);DHN_COGEN_WOOD;1172.95;42.94466341;165.33;25;0.8449;0;1;0;0;
Heat;Heat low temperature centralised;Cogeneration waste (DHN);DHN_COGEN_WASTE;3182.91;117.3386515;647.82;25;0.8449;0;1;0;0;
Heat;Heat low temperature centralised;Boiler gas (DHN);DHN_BOILER_GAS;70.67;1.415862909;12.32;17;0.9443;0;1;0;0;
Heat;Heat low temperature centralised;Boiler wood (DHN);DHN_BOILER_WOOD;138.22;2.764303774;28.87;17;0.8946;0;1;0;0;
Heat;Heat low temperature centralised;Boiler oil (DHN);DHN_BOILER_OIL;65.83;1.415862909;12.32;17;0.9443;0;1;0;0;
Heat;Heat low temperature centralised;Geothermal (DHN);DHN_DEEP_GEO;1611.94;60.39529412;808.76;30;0.8449;0;1;0;0;
Heat;Heat low temperature centralised;Solar thermal (DHN);DHN_SOLAR;381.37;0.449838889;221.22;30;1;0;1;0;0;
Heat;Heat low temperature decentralised;Electrical heat pump (decentralised);DEC_HP_ELEC;453.53;18.90991507;164.89;18;1;0;1;0;0;
Heat;Heat low temperature decentralised;Thermal heat pump gas (decentralised);DEC_THHP_GAS;290.98;8.504414652;381.93;20;1;0;1;0;0;
Heat;Heat low temperature decentralised;Cogeneration gas (decentralised);DEC_COGEN_GAS;1309.8;84.19242524;1024.32;20;1;0;1;0;0;
Heat;Heat low temperature decentralised;Cogeneration oil (decentralised);DEC_COGEN_OIL;1214.48;74.51327584;1024.32;20;1;0;1;0;0;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_GAS;5652.51;105.3418349;2193.45;20;1;0;1;0;0;
Heat;Heat low temperature decentralised;Advanced cogeneration (Fuel cell) gas (decentralised);DEC_ADVCOGEN_H2;5652.51;105.3418349;2193.45;20;1;0;1;0;0;
Heat;Heat low temperature decentralised;Bioler gas (decentralised);DEC_BOILER_GAS;158.54;4.756999719;21.09;17;1;0;1;0;0;
Heat;Heat low temperature decentralised;Boiler wood (decentralised);DEC_BOILER_WOOD;462.44;16.18129038;21.09;17;1;0;1;0;0;
Heat;Heat low temperature decentralised;Boiler oil (decentralised);DEC_BOILER_OIL;142.38;8.54012548;21.09;17;1;0;1;0;0;
Heat;Heat low temperature decentralised;Solar thermal (decentralised);DEC_SOLAR;688.69;7.641164903;221.22;25;1;0;1;0;0;
Heat;Heat low temperature decentralised;Direct electrical heaters (decentralised);DEC_DIRECT_ELEC;37.8;0.165210761;1.47;15;1;0;1;0;0;
Cold;Space cooling;Electrical refrigeration cycle;DEC_ELEC_COLD;460.79;19.71;164.89;20;1;0;1;0;0;
Cold;Space cooling;Electrical fan;DEC_ELEC_COLD_FAN;528.88;22.1;164.89;20;1;0;1;0;0;
Cold;Space cooling;Thermal refrigeration cycle gas;DEC_THHP_GAS_COLD;295.64;8.87;381.93;20;1;0;1;0;0;
Cold;Process cooling;Industrial electric cooling;IND_ELEC_COLD;570;4.61;174.79;20;0.95;0;1;0;0;
Mobility;Passenger public;Tram or metro;TRAMWAY_TROLLEY;625;12.5;0;30;0.342465753;0;1;0;0;
Mobility;Passenger public;Bus diesel;BUS_COACH_DIESEL;0;0;0;15;0.483722222;0;1;0;0;
Mobility;Passenger public;Bus diesel hybrid;BUS_COACH_HYDIESEL;861.1;33.33333333;0;15;0.483722222;0;1;0;0;
Mobility;Passenger public;Bus gas;BUS_COACH_CNG_STOICH;0;0;0;15;0.483722222;0;1;0;0;
Mobility;Passenger public;Bus fuel cell (H2);BUS_COACH_FC_HYBRIDH2;1048.43;31.25;0;15;0.483722222;0;1;0;0;
Mobility;Passenger public;Train (passenger);TRAIN_PUB;1506.02;54.35274934;0;40;0.275072894;0;1;0;0;
Mobility;Passenger aviation;Plane short_haul;PLANE_SHORT_HAUL;1456.05;39.82;0;35;0.4999;0;1;0;0;
Mobility;Passenger aviation;Plane hydrogen short-haul;PLANE_H2_SHORT_HAUL;1639.69;44.84;0;35;0.4999;0;1;0;0;
Mobility;Passenger aviation;Plane long_haul;PLANE_LONG_HAUL;1343.77;36.75;0;35;0.5374;0;1;0;0;
Mobility;Passenger private;Car gasoline;CAR_GASOLINE;0;0;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car diesel;CAR_DIESEL;0;0;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car gas;CAR_NG;0;0;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car methanol;CAR_METHANOL;0;0;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car hybrid (gasoline);CAR_HEV;443.72;34;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car plug-in hybrid;CAR_PHEV;461.55;34;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car electric;CAR_BEV;256.9907123;5.139814247;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;Car fuel cell (H2);CAR_FUEL_CELL;813.8374;14.124;0;10;0.1343125;0;1;0;0;
Mobility;Freight;Train (freight);TRAIN_FREIGHT;104.42;2.088311688;0;40;0.342465753;0;1;0;0;
Mobility;Freight;Boat diesel;BOAT_FREIGHT_DIESEL;79;3.819444444;0;40;0.114155251;0;1;0;0;
Mobility;Freight;Boat gas;BOAT_FREIGHT_NG;78.5;3.819444444;0;40;0.114155251;0;1;0;0;
Mobility;Freight;Boat methanol;BOAT_FREIGHT_METHANOL;0;0;0;40;0.114155251;0;1;0;0;
Mobility;International shipping;Container shipping diesel;CARGO_LFO;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping LNG;CARGO_LNG;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_METHANOL;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_AMMONIA;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_FUELCELL_LH2;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_FUELCELL_AMMONIA;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_RETRO_METHANOL;0;0;0;40;0.739666854;0;1;0;0;
Mobility;International shipping;Container shipping fuelcell;CARGO_RETRO_AMMONIA;0;0;0;40;0.739666854;0;1;0;0;
Mobility;Freight;Trucks diesel;TRUCK_DIESEL;0;0;0;15;0.01805556;0;1;0;0;
Mobility;Freight;Truck methanol;TRUCK_METHANOL;0;0;0;15;0.01805556;0;1;0;0;
Mobility;Freight;Truck fuel cell (hydrogen);TRUCK_FUEL_CELL;404.83;12.06666667;0;15;0.01805556;0;1;0;0;
Mobility;Freight;Truck electric;TRUCK_ELEC;744.16;23.13333333;0;15;0.01805556;0;1;0;0;
Mobility;Freight;Truck gas;TRUCK_NG;381.34;18.55555556;0;15;0.01805556;0;1;0;0;
Infrastructure;Infrastructure;Efficiency mesures in energy system;EFFICIENCY;0;0;0;1;1;0;1;0;0;
Infrastructure;Infrastructure;Distric heating network;DHN;825.88;0;0;60;1;0;1;0;0;
Infrastructure;Infrastructure;Electrical grid cost;GRID;810.19;0;0;80;1;0;1;0;0;
Infrastructure;Infrastructure;HVAC line;HVAC_LINE;1532;30.64;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;HVDC subsea cable;HVDC_SUBSEA;3.24;0.06;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;Gas pipeline;GAS_PIPELINE;0.134;0.001;0;55;1;0;1;0;0;
Infrastructure;Infrastructure;Gas subsea pipeline;GAS_SUBSEA;0.208;0.002;0;55;1;0;1;0;0;
Infrastructure;Infrastructure;Hydrogen retrofitted pipeline;H2_RETROFITTED;0.355973417;0.005;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;Hydrogen new pipeline;H2_NEW;0.452;0.005;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;Hydrogen subsea retrofitted pipeline;H2_SUBSEA_RETRO;0.533066683;0.007;0;40;1;0;1;0;0;
Infrastructure;Infrastructure;Hydrogen subsea new pipeline;H2_SUBSEA_NEW;0.726;0.007;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Electrolysers;H2_ELECTROLYSIS;506.33;13.92405063;0;15;0.8946;0;1;0;0;
Synthetic fuels;Synthetic fuels;Steam methane reforming;H2_NG;775.33;71.54781261;0;25;0.85484;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass to hydrogen;H2_BIOMASS;1767.77;124.5375376;0;25;0.85484;0;1;0;0;
Synthetic fuels;Synthetic fuels;Lignocellulosic biomass gasification;BIOMASS_TO_METHANE;3082.8512;173.8128468;0;25;0.85;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste gasification;BIOWASTE_TO_METHANE;2404.76;206.8190476;0;25;0.85;0;1;0;0;
Synthetic fuels;Synthetic fuels;Hydrogen methanation;SYN_METHANATION;172.88;44.17105263;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Wet biomass methanation;BIOMETHANATION_WET_BIOMASS;1122.22;15.54545455;0;20;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste methanation;BIOMETHANATION_BIOWASTE;1122.22;15.54545455;0;20;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Lignocellulosic biomass pyrolysis to gasoline (and diesel);BIOMASS_TO_GASOLINE;5169.1031;166.9735;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch Ligno Diesel;BIOMASS_TO_DIESEL;5169.1031;166.9735;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch Ligno Jet fuel;BIOMASS_TO_JET_FUEL;5169.1031;166.9735;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Lignocellulosic biomass pyrolysis to LFO;BIOMASS_TO_LFO;6046.9153;166.9735;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste pyrolysis to gasoline (and diesel);BIOWASTE_TO_GASOLINE;5169.1031;203.70767;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch bio waste Diesel;BIOWASTE_TO_DIESEL;5169.1031;203.70767;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer Tropsch bio waste Jet fuel;BIOWASTE_TO_JET_FUEL;5169.1031;203.70767;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste pyrolysis to LFO;BIOWASTE_TO_LFO;6046.9153;250.46025;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Diesel to jet fuel;DIESEL_TO_JET_FUEL;0;0;0;25;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Carbon capture atmospheric;ATM_CCS;4977.27;123.552;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Carbon capture from industry;INDUSTRY_CCS;2488.63;61.776;0;40;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Hydrogen methanolation;SYN_METHANOLATION;0;0;0;20;0.9443;0;1;0;0;
Synthetic fuels;Synthetic fuels;Methane to methanol;METHANE_TO_METHANOL;0;0;0;25;0.8449;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass methanolation;BIOMASS_TO_METHANOL;0;0;0;20;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biowaste methanolation;BIOWASTE_TO_METHANOL;0;94.248;0;20;1;0;1;0;0;
Synthetic fuels;Synthetic fuels;Haber bosch (H2 to amonia);HABER_BOSCH;0;0;0;20;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch P2L Gasoline;POWER_TO_GASOLINE;2173.919602;77.39591906;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch P2L Diesel;POWER_TO_DIESEL;2173.919602;77.39591906;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch P2L Jet fuel;POWER_TO_JET_FUEL;2173.919602;77.39591906;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch P2L LFO;POWER_TO_LFO;3804.508764;288.1851693;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch Hydrogen to Gasoline;H2_TO_GASOLINE;1222.860348;74.52158241;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch Hydrogen to Diesel;H2_TO_DIESEL;1222.860348;74.52158241;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch Hydrogen to Jet fuel;H2_TO_JET_FUEL;1222.860348;74.52158241;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Fischer-Tropsch Hydrogen to LFO;H2_TO_LFO;2445.720694;149.5353034;0;25;0.91;0;1;0;0;
Synthetic fuels;Synthetic fuels;Amonia to H2;AMMONIA_TO_H2;0;0;0;25;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Oil to HVC;OIL_TO_HVC;365.42;1.942762063;0;15;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Gas to HVC;GAS_TO_HVC;737.88;18.44696834;0;25;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass to HVC;BIOMASS_TO_HVC;1220.1;36.4;0;20;0.994;0;1;0;0;
Synthetic fuels;Synthetic fuels;Methanol to HVC;METHANOL_TO_HVC;0;0;0;20;1;0;1;0;0;
Storage;Electricity storage;Batteries;BATT_LI;156.66;0.242195364;61.3;15;1;0;1;0;0;
Storage;Electricity storage;Batteries HomeSystem;BATT_HS;658.82;10;61.3;15;1;0;1;0;0;
Storage;Electricity storage;Compressed air energy storage;CAES;38.938;3.1799;0;50;1;0;1;0;0;
Storage;Electricity storage;Batteries of electric cars;BEV_BATT;0;0;0;1;1;0;1;0;0;
Storage;Electricity storage;Batteries of plug-in hybrid cars;PHEV_BATT;0;0;0;1;1;0;1;0;0;
Storage;Electricity storage;Hydro dam storage;DAM_STORAGE;0;0;0;100;1;0;1;0;0;
Storage;Electricity storage;Pumped hydro storage;PHS;58.8;0;8.33;50;1;0;1;0;0;
Storage;Thermal storage;Decentralised direct elec;TS_DEC_DIRECT_ELEC;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised electrical heat pumps;TS_DEC_HP_ELEC;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised thermal heat pumps gas;TS_DEC_THHP_GAS;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised cogeneration gas;TS_DEC_COGEN_GAS;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised cogenration oil;TS_DEC_COGEN_OIL;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised fuel cell cogeneration gas;TS_DEC_ADVCOGEN_GAS;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised fuel cell cogenration H2;TS_DEC_ADVCOGEN_H2;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler gas;TS_DEC_BOILER_GAS;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler wood;TS_DEC_BOILER_WOOD;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Decentralised boiler oil;TS_DEC_BOILER_OIL;0;0;0;20;1;0;1;0;0;
Storage;Thermal storage;Centralised daily;TS_DHN_DAILY;0;0;0;40;1;0;1;0;0;
Storage;Thermal storage;Centralised seasonal;TS_DHN_SEASONAL;0;0;0;25;1;0;1;0;0;
Storage;Thermal storage;Thermal storage industries;TS_HIGH_TEMP;0;0;0;25;1;0;1;0;0;
Storage;Other storage;Gas storage;GAS_STORAGE;0;0;0;50;1;0;1;0;0;
Storage;Other storage;Hydrogen storage;H2_STORAGE;6.19;0.39;0;20;1;0;1;0;0;
Storage;Other storage;Diesel storage;DIESEL_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Jet fuel storage;JET_FUEL_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Gasoline storage;GASOLINE_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;LFO storage;LFO_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;Ammonia storage;AMMONIA_STORAGE;0;0;0;20;1;0;1;0;0;
Storage;Other storage;Methanol storage;METHANOL_STORAGE;0;0;0;20;1;0;1;0;0;
Storage;Other storage;Parabolic trough storage;PT_STORAGE;36.9568;0.3695;0;25;1;0;1;0;0;
Storage;Other storage;Solar tower storage;ST_STORAGE;19.099;0.1909;0;25;1;0;1;0;0;
Storage;Thermal storage;Space cooling storage;TS_COLD;0;0;0;20;1;0;1;0;0;
Storage;Other storage;CO2 storage;CO2_STORAGE;49.5;0.495;0;30;1;0;1;0;0;
Heat;Cooking;Firewood stove;STOVE_WOOD;53.65514911;1.60965447;75;10;0.1875;0;1;0;0;
Heat;Cooking;LPG stove;STOVE_LPG;52.20521443;1.33859524;75;10;0.1875;0;1;0;0;
Heat;Cooking;NG stove;STOVE_NG;70.48592219;1.80733134;75;10;0.1875;0;1;0;0;
Heat;Cooking;Oil stove;STOVE_OIL;17.37818595;0.52134558;75;10;0.1875;0;1;0;0;
Heat;Cooking;Electric stove;STOVE_ELEC;20.60357726;0.51508943;75;10;0.1875;0;1;0;0;
Mobility;Passenger aviation;Plane;PLANE;1456.05;39.82;0;35;0.114155251;0;1;0;0;
Synthetic fuels;Synthetic fuels;Biomass fermentation to bioethanol;FERMENTATION_TO_BIOETHANOL;2554.01;116.0842435;0;25;0.92;0;1;0;0;
Synthetic fuels;Synthetic fuels;Esterification to biodiesel;ESTERIFICATION_TO_BIODIESEL;2554.01;116.0842435;0;25;0.8449;0;1;0;0;
Heat;Heat high temperature;Diesel engine (industry);IND_BOILER_DIESEL;171.6964771;4.29241193;516.55;25;0.9;0;1;0;0;
Heat;Heat high temperature;LPG burner (industry);IND_BOILER_LPG;70.67;1.415862909;12.32;17;0.9443;0;1;0;0;
Storage;Other storage;LPG storage;LPG_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Storage;Other storage;LNG storage;LNG_STORAGE;0.01;0.000397;0;20;1;0;1;0;0;
Mobility;Passenger private;CAR_FG_PRIVATE;CAR_FG_PRIVATE;338.2381211;20.29428726;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;BUS_FG_PRIVATE;BUS_FG_PRIVATE;237.0145671;11.85072835;0;15;0.48372222;0;1;0;0;
Mobility;Passenger private;PICKUP_TRUCK_FG_PRIVATE;PICKUP_TRUCK_FG_PRIVATE;583.2322196;34.99393317;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;SUV_FG_PRIVATE;SUV_FG_PRIVATE;513.7562812;30.82537687;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;MOTORCYCLE_FG_PRIVATE;MOTORCYCLE_FG_PRIVATE;47.87589545;2.87255373;0;10;0.01989583;0;1;0;0;
Mobility;Passenger public;CAR_FG_PUBLIC;CAR_FG_PUBLIC;338.2381211;20.29428726;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;BUS_FG_PUBLIC;BUS_FG_PUBLIC;237.0145671;11.85072835;0;15;0.48372222;0;1;0;0;
Mobility;Passenger public;PICKUP_TRUCK_FG_PUBLIC;PICKUP_TRUCK_FG_PUBLIC;583.2322196;34.99393317;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;SUV_FG_PUBLIC;SUV_FG_PUBLIC;513.7562812;30.82537687;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;MOTORCYCLE_FG_PUBLIC;MOTORCYCLE_FG_PUBLIC;47.87589545;2.87255373;0;10;0.01989583;0;1;0;0;
Mobility;Passenger private;CAR_GASOLINE_PRIVATE;CAR_GASOLINE_PRIVATE;329.6776181;19.78065708;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;BUS_GASOLINE_PRIVATE;BUS_GASOLINE_PRIVATE;229.4696584;11.47348292;0;15;0.48372222;0;1;0;0;
Mobility;Passenger private;PICKUP_TRUCK_GASOLINE_PRIVATE;PICKUP_TRUCK_GASOLINE_PRIVATE;579.2640634;34.7558438;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;SUV_GASOLINE_PRIVATE;SUV_GASOLINE_PRIVATE;508.4858177;30.50914906;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;MOTORCYCLE_GASOLINE_PRIVATE;MOTORCYCLE_GASOLINE_PRIVATE;29.10103449;1.74606207;0;10;0.01989583;0;1;0;0;
Mobility;Passenger public;CAR_GASOLINE_PUBLIC;CAR_GASOLINE_PUBLIC;329.6776181;19.78065708;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;BUS_GASOLINE_PUBLIC;BUS_GASOLINE_PUBLIC;229.4696584;11.47348292;0;15;0.48372222;0;1;0;0;
Mobility;Passenger public;PICKUP_TRUCK_GASOLINE_PUBLIC;PICKUP_TRUCK_GASOLINE_PUBLIC;579.2640634;34.7558438;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;SUV_GASOLINE_PUBLIC;SUV_GASOLINE_PUBLIC;508.4858177;30.50914906;0;10;0.1343125;0;1;0;0;
Mobility;Passenger public;MOTORCYCLE_GASOLINE_PUBLIC;MOTORCYCLE_GASOLINE_PUBLIC;29.10103449;1.74606207;0;10;0.01989583;0;1;0;0;
Mobility;Passenger private;CAR_DIESEL_PRIVATE;CAR_DIESEL_PRIVATE;329.6755753;19.78053452;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;BUS_DIESEL_PRIVATE;BUS_DIESEL_PRIVATE;229.4696584;11.47348292;0;15;0.48372222;0;1;0;0;
Mobility;Passenger private;PICKUP_TRUCK_DIESEL_PRIVATE;PICKUP_TRUCK_DIESEL_PRIVATE;579.2604741;34.75562845;0;10;0.1343125;0;1;0;0;
Mobility;Passenger private;SUV_DIESEL_PRIVATE;SUV_DIESEL_PRIVATE;508.482667;30.50896002;0;10;0.1343125;0;1;0;0;
